date,mmm_yy,week_no
01-04-2022,01-04-2022,W 14
03-04-2022,01-04-2022,W 15
04-04-2022,01-04-2022,W 15
05-04-2022,01-04-2022,W 15
06-04-2022,01-04-2022,W 15
07-04-2022,01-04-2022,W 15
08-04-2022,01-04-2022,W 15
09-04-2022,01-04-2022,W 15
10-04-2022,01-04-2022,W 16
11-04-2022,01-04-2022,W 16
12-04-2022,01-04-2022,W 16
13-04-2022,01-04-2022,W 16
14-04-2022,01-04-2022,W 16
15-04-2022,01-04-2022,W 16
16-04-2022,01-04-2022,W 16
02-04-2022,01-04-2022,W 14
17-04-2022,01-04-2022,W 17
18-04-2022,01-04-2022,W 17
19-04-2022,01-04-2022,W 17
20-04-2022,01-04-2022,W 17
21-04-2022,01-04-2022,W 17
22-04-2022,01-04-2022,W 17
23-04-2022,01-04-2022,W 17
24-04-2022,01-04-2022,W 18
25-04-2022,01-04-2022,W 18
26-04-2022,01-04-2022,W 18
27-04-2022,01-04-2022,W 18
28-04-2022,01-04-2022,W 18
29-04-2022,01-04-2022,W 18
30-04-2022,01-04-2022,W 18
16-08-2022,01-08-2022,W 34
01-08-2022,01-08-2022,W 32
02-08-2022,01-08-2022,W 32
03-08-2022,01-08-2022,W 32
04-08-2022,01-08-2022,W 32
05-08-2022,01-08-2022,W 32
06-08-2022,01-08-2022,W 32
07-08-2022,01-08-2022,W 33
08-08-2022,01-08-2022,W 33
09-08-2022,01-08-2022,W 33
10-08-2022,01-08-2022,W 33
11-08-2022,01-08-2022,W 33
12-08-2022,01-08-2022,W 33
13-08-2022,01-08-2022,W 33
14-08-2022,01-08-2022,W 34
15-08-2022,01-08-2022,W 34
17-08-2022,01-08-2022,W 34
18-08-2022,01-08-2022,W 34
19-08-2022,01-08-2022,W 34
20-08-2022,01-08-2022,W 34
21-08-2022,01-08-2022,W 35
22-08-2022,01-08-2022,W 35
23-08-2022,01-08-2022,W 35
24-08-2022,01-08-2022,W 35
25-08-2022,01-08-2022,W 35
26-08-2022,01-08-2022,W 35
27-08-2022,01-08-2022,W 35
28-08-2022,01-08-2022,W 36
29-08-2022,01-08-2022,W 36
30-08-2022,01-08-2022,W 36
16-07-2022,01-07-2022,W 29
02-07-2022,01-07-2022,W 27
03-07-2022,01-07-2022,W 28
04-07-2022,01-07-2022,W 28
05-07-2022,01-07-2022,W 28
06-07-2022,01-07-2022,W 28
07-07-2022,01-07-2022,W 28
08-07-2022,01-07-2022,W 28
09-07-2022,01-07-2022,W 28
10-07-2022,01-07-2022,W 29
11-07-2022,01-07-2022,W 29
12-07-2022,01-07-2022,W 29
13-07-2022,01-07-2022,W 29
14-07-2022,01-07-2022,W 29
15-07-2022,01-07-2022,W 29
01-07-2022,01-07-2022,W 27
17-07-2022,01-07-2022,W 30
18-07-2022,01-07-2022,W 30
19-07-2022,01-07-2022,W 30
20-07-2022,01-07-2022,W 30
21-07-2022,01-07-2022,W 30
22-07-2022,01-07-2022,W 30
23-07-2022,01-07-2022,W 30
24-07-2022,01-07-2022,W 31
25-07-2022,01-07-2022,W 31
26-07-2022,01-07-2022,W 31
27-07-2022,01-07-2022,W 31
28-07-2022,01-07-2022,W 31
29-07-2022,01-07-2022,W 31
30-07-2022,01-07-2022,W 31
31-07-2022,01-07-2022,W 32
01-06-2022,01-06-2022,W 23
02-06-2022,01-06-2022,W 23
03-06-2022,01-06-2022,W 23
04-06-2022,01-06-2022,W 23
05-06-2022,01-06-2022,W 24
06-06-2022,01-06-2022,W 24
07-06-2022,01-06-2022,W 24
08-06-2022,01-06-2022,W 24
09-06-2022,01-06-2022,W 24
10-06-2022,01-06-2022,W 24
11-06-2022,01-06-2022,W 24
12-06-2022,01-06-2022,W 25
13-06-2022,01-06-2022,W 25
14-06-2022,01-06-2022,W 25
15-06-2022,01-06-2022,W 25
16-06-2022,01-06-2022,W 25
17-06-2022,01-06-2022,W 25
18-06-2022,01-06-2022,W 25
19-06-2022,01-06-2022,W 26
20-06-2022,01-06-2022,W 26
21-06-2022,01-06-2022,W 26
22-06-2022,01-06-2022,W 26
23-06-2022,01-06-2022,W 26
24-06-2022,01-06-2022,W 26
25-06-2022,01-06-2022,W 26
26-06-2022,01-06-2022,W 27
27-06-2022,01-06-2022,W 27
28-06-2022,01-06-2022,W 27
29-06-2022,01-06-2022,W 27
30-06-2022,01-06-2022,W 27
16-03-2022,01-03-2022,W 12
02-03-2022,01-03-2022,W 10
03-03-2022,01-03-2022,W 10
04-03-2022,01-03-2022,W 10
05-03-2022,01-03-2022,W 10
06-03-2022,01-03-2022,W 11
07-03-2022,01-03-2022,W 11
08-03-2022,01-03-2022,W 11
09-03-2022,01-03-2022,W 11
10-03-2022,01-03-2022,W 11
11-03-2022,01-03-2022,W 11
12-03-2022,01-03-2022,W 11
13-03-2022,01-03-2022,W 12
14-03-2022,01-03-2022,W 12
15-03-2022,01-03-2022,W 12
01-03-2022,01-03-2022,W 10
17-03-2022,01-03-2022,W 12
18-03-2022,01-03-2022,W 12
19-03-2022,01-03-2022,W 12
20-03-2022,01-03-2022,W 13
21-03-2022,01-03-2022,W 13
22-03-2022,01-03-2022,W 13
23-03-2022,01-03-2022,W 13
24-03-2022,01-03-2022,W 13
25-03-2022,01-03-2022,W 13
26-03-2022,01-03-2022,W 13
27-03-2022,01-03-2022,W 14
28-03-2022,01-03-2022,W 14
29-03-2022,01-03-2022,W 14
30-03-2022,01-03-2022,W 14
31-03-2022,01-03-2022,W 14
01-05-2022,01-05-2022,W 19
02-05-2022,01-05-2022,W 19
03-05-2022,01-05-2022,W 19
04-05-2022,01-05-2022,W 19
05-05-2022,01-05-2022,W 19
06-05-2022,01-05-2022,W 19
07-05-2022,01-05-2022,W 19
08-05-2022,01-05-2022,W 20
09-05-2022,01-05-2022,W 20
10-05-2022,01-05-2022,W 20
11-05-2022,01-05-2022,W 20
12-05-2022,01-05-2022,W 20
13-05-2022,01-05-2022,W 20
14-05-2022,01-05-2022,W 20
15-05-2022,01-05-2022,W 21
16-05-2022,01-05-2022,W 21
17-05-2022,01-05-2022,W 21
18-05-2022,01-05-2022,W 21
19-05-2022,01-05-2022,W 21
20-05-2022,01-05-2022,W 21
21-05-2022,01-05-2022,W 21
22-05-2022,01-05-2022,W 22
23-05-2022,01-05-2022,W 22
24-05-2022,01-05-2022,W 22
25-05-2022,01-05-2022,W 22
26-05-2022,01-05-2022,W 22
27-05-2022,01-05-2022,W 22
28-05-2022,01-05-2022,W 22
29-05-2022,01-05-2022,W 23
30-05-2022,01-05-2022,W 23
31-05-2022,01-05-2022,W 23
